headline,published,ticker
Добыча вязкой и сверхвязкой нефти и ряда месторождений Роснефти и Башнефти переходят на НДД,2024-01-01 01:19:00,ROSN
Добыча вязкой и сверхвязкой нефти и ряда месторождений Роснефти и Башнефти переходят на НДД,2024-01-01 01:19:00,BANE
Добыча вязкой и сверхвязкой нефти и ряда месторождений Роснефти и Башнефти переходят на НДД,2024-01-01 01:19:00,BANEP
"Болгарские таможенники проводят проверку складов завода ""Лукойл нефтохим Бургас""",2024-01-01 11:42:48,LKOH
"""Транснефть"" повысила тарифы на прокачку нефти и нефтепродуктов на 7,2%",2024-01-01 13:00:00,TRNFP
"""Газпром"" подает газ для Европы через Украину в объеме 40,7 млн куб. м через ""Суджу""",2024-01-02 06:56:20,SIBN
"""Газпром"" подает газ для Европы через Украину в объеме 40,7 млн куб. м через ""Суджу""",2024-01-02 06:56:20,GAZP
Состояние российских миллиардеров в 2023 году выросло на $50 млрд - рейтинг BBI,2024-01-02 12:10:40,LKOH
Авиакомпании РФ перевезли более 103 млн пассажиров в 23г — агентства,2024-01-02 15:28:34,AFLT
Глава E.ON предупредил о росте цен на электроэнергию и газ в ФРГ в 2024 году,2024-01-02 15:39:35,OGKB
"Россия сократила экспорт СПГ в Европу в 2023 году на 1,9% — данные LSEG",2024-01-02 16:35:14,NVTK
Завод в Саратовской области увеличил мощность сернокислотного производства на 40%,2024-01-03 00:24:26,KRKNP
"""Газпром"" подает газ для Европы через Украину в объеме 42,4 млн куб. м через ""Суджу""",2024-01-03 07:01:48,SIBN
"""Газпром"" подает газ для Европы через Украину в объеме 42,4 млн куб. м через ""Суджу""",2024-01-03 07:01:48,GAZP
Эксперт предложил сделать исламскую ипотеку в РФ льготной,2024-01-03 09:30:00,SBER
Эксперт предложил сделать исламскую ипотеку в РФ льготной,2024-01-03 09:30:00,SBERP
Инвестиции в золотые активы сохранят свою актуальность в 2024 году - эксперты,2024-01-03 12:05:00,PLZL
Евросоюз включил в санкционный список Алросу,2024-01-03 12:10:51,ALRS
"Акции ""Алросы"" перешли к снижению после сообщения о санкциях",2024-01-03 12:19:44,ALRS
TCS Group планирует провести делистинг расписок с Лондонской биржи 31 января,2024-01-03 12:53:00,TCSG
Евросоюз ввел санкции против АЛРОСА и ее гендиректора Маринычева - ТАСС,2024-01-03 13:18:00,ALRS
"""Транснефть"" подала иск к собственнику Тюменского НПЗ на 584 млн рублей",2024-01-03 14:26:00,TRNFP
"""Газпром"" обновил рекорд суточного экспорта в Китай по ""Силе Сибири""",2024-01-03 14:53:00,MRKS
От Nokia до «М.Видео»: какие компании сменили логотип в 2023 году,2024-01-03 16:39:50,MTSS
"Мантуров рассказал о дизайне автомобиля ""Волга"" после перезапуска производства",2024-01-03 17:09:36,MRKV
Путин снял ограничения с международных акционеров «Полюса» и «ФосАгро»,2024-01-03 20:52:25,PHOR
"Мантуров: возрожденная ""Волга"" получит абсолютно современный облик",2024-01-03 21:00:01,MRKV
Саратовский завод обеспечил патрубками все модели легковых автомобилей Lada,2024-01-04 03:27:21,KRKNP
Сегодня дивидендная отсечка в Совкомфлот,2024-01-04 06:34:00,FLOT
"""Газпром"" подает газ для Европы через Украину в объеме 42,4 млн куб. м через ""Суджу""",2024-01-04 07:02:48,SIBN
"""Газпром"" подает газ для Европы через Украину в объеме 42,4 млн куб. м через ""Суджу""",2024-01-04 07:02:48,GAZP
Российские самолеты МС-21 и Superjet объединят в общий бренд - Ъ,2024-01-04 07:04:00,UNAC
"Вчера хорошо поторговали, сегодня инвесторы продолжили отдых и просыпается шлак-мафия - в лидерах оборота старые друзья: Мечел, ОВК, ГТМ и бывший Иркут",2024-01-04 10:25:00,MTLRP
"Вчера хорошо поторговали, сегодня инвесторы продолжили отдых и просыпается шлак-мафия - в лидерах оборота старые друзья: Мечел, ОВК, ГТМ и бывший Иркут",2024-01-04 10:25:00,GTRK
"Вчера хорошо поторговали, сегодня инвесторы продолжили отдых и просыпается шлак-мафия - в лидерах оборота старые друзья: Мечел, ОВК, ГТМ и бывший Иркут",2024-01-04 10:25:00,MTLR
"Вчера хорошо поторговали, сегодня инвесторы продолжили отдых и просыпается шлак-мафия - в лидерах оборота старые друзья: Мечел, ОВК, ГТМ и бывший Иркут",2024-01-04 10:25:00,UWGN
"КТК в 2023 году нарастил отгрузки нефти до рекордных 63,5 млн тонн",2024-01-04 13:13:19,LKOH
"Экспорт ""Газпрома"" в Китай вышел на новый контрактный уровень",2024-01-04 14:21:00,SIBN
"Экспорт ""Газпрома"" в Китай вышел на новый контрактный уровень",2024-01-04 14:21:00,GAZP
"""Газпром"" подает газ для Европы через Украину в объеме 42,4 млн куб. м через ""Суджу""",2024-01-05 07:04:27,SIBN
"""Газпром"" подает газ для Европы через Украину в объеме 42,4 млн куб. м через ""Суджу""",2024-01-05 07:04:27,GAZP
С 2024 инвесторы не смогут выводить деньги с ИИС в ВТБ (при переводе бумаг из Открытия)?,2024-01-05 08:22:00,VTBR
Дивидендный гэп Совкомфлот,2024-01-05 10:03:00,FLOT
"Финансовые показатели АЛРОСА в 2024, несмотря на санкции, будут стабильными, считает экс-глава компании Сергей Иванов - ИНТЕРФАКС",2024-01-05 13:08:00,ALRS
"Энергообъекты ""Россети Центр"" работают устойчиво при возросшей нагрузке из-за морозов",2024-01-05 15:53:37,MRKU
